,DT predictions,RF predictions,GB predictions,ET predictions,Ensemble of the four ,Real values
3509,7.91,7.673399999999996,7.8558533734299125,7.802799999999999,7.810513343357476,7.91
11315,6.67,5.7315,5.387580867650389,5.868199999999998,5.914320216912596,6.88
10092,5.840000000000002,5.841599999999997,5.744739510594427,5.840600000000002,5.816734877648607,5.84
5271,7.44,7.4400000000000155,7.374919691000923,7.441200000000013,7.424029922750238,7.44
1139,5.49,5.491900000000005,5.3666457103208005,5.5260000000000025,5.468636427580202,5.49
13620,6.900000000000004,6.899999999999988,6.912882656420179,6.901699999999988,6.903645664105039,6.9
10801,4.72,5.919600000000002,5.756602055516546,6.143099999999997,5.634825513879136,6.17
10778,7.420000000000001,7.419999999999991,7.424729948465404,7.421599999999991,7.421582487116347,7.42
3501,5.92,6.1773000000000025,6.216635349673566,6.2786,6.148133837418392,6.72
290,6.8500000000000005,6.850000000000012,6.813403257011665,6.84740000000001,6.840200814252922,6.85
304,7.490000000000001,7.490000000000006,7.484875040142116,7.491500000000006,7.489093760035533,7.49
10599,6.67,6.326899999999996,5.800353072083286,5.866299999999999,6.1658882680208205,6.5
8854,7.790000000000002,7.790499999999993,7.798892409120477,7.788599999999991,7.7919981022801155,7.79
3776,6.8400000000000025,6.84,6.816438573987066,6.8409,6.834334643496768,6.84
4730,7.14,7.139999999999989,7.112606119531628,7.138299999999991,7.132726529882902,7.14
2417,6.169999999999997,6.169999999999996,6.153104064164064,6.189899999999998,6.170751016041014,6.17
8196,6.38,6.379799999999997,6.385336781012774,6.379699999999997,6.3812091952531915,6.38
2124,6.400000000000002,6.399799999999988,6.331137010218953,6.399599999999989,6.382634252554733,6.4
9941,6.26,6.259999999999994,6.30900193478904,6.259299999999993,6.2720754836972565,6.26
2025,6.209999999999998,6.209699999999999,6.226962487117943,6.211900000000003,6.214640621779486,6.21
3441,6.770000000000002,6.769999999999991,6.830206244277273,6.764899999999992,6.783776561069313,6.77
12614,7.680000000000002,7.68079999999999,7.630059761486102,7.6852,7.6690149403715235,7.68
1006,5.58,5.570099999999999,5.520997354507325,5.554800000000001,5.556474338626831,5.57
13306,7.05,6.993099999999998,6.696078424433469,6.968899999999999,6.927019606108367,6.79
736,5.450000000000001,5.4531999999999945,5.300112660412959,5.449099999999996,5.413103165103237,5.45
11073,7.120000000000002,7.124700000000001,7.104101752600917,7.1236000000000015,7.118100438150231,7.12
12372,7.13,7.128999999999998,7.135486428825805,7.130399999999997,7.13122160720645,7.13
4336,4.74,4.7415,4.672913054117757,4.742999999999997,4.724353263529439,4.73
10951,5.4,5.2556,5.520264480789492,5.631100000000001,5.451741120197373,7.17
13493,7.610000000000002,7.608600000000012,7.607384481103479,7.6172000000000075,7.610796120275875,7.61
3745,5.32,5.314399999999999,5.324989766186378,5.308899999999999,5.3170724415465935,5.32
2009,4.29,5.188099999999999,5.083034859407604,5.490000000000002,5.012783714851901,4.61
1086,7.290000000000001,7.289999999999996,7.25020460016681,7.287499999999993,7.2794261500417,7.29
9367,6.0,5.542700000000002,5.415543909924033,5.555599999999998,5.628460977481009,5.92
10068,5.1,5.372300000000003,4.968396689342316,5.011100000000003,5.11294917233558,5.09
7613,5.76,5.301799999999999,5.53318263334052,5.7162000000000015,5.57779565833513,5.69
8018,6.53,6.307,5.8983601472998615,6.150199999999999,6.221390036824965,5.83
12441,5.42,5.6911999999999985,5.481058095920102,5.482299999999998,5.518639523980025,4.85
12667,7.99,7.989900000000007,7.947678837084552,7.990300000000007,7.979469709271141,7.99
5746,6.610000000000005,6.61000000000001,6.559948116503973,6.613800000000009,6.598437029125999,6.61
9451,5.28,5.279799999999994,5.358034800903487,5.263699999999991,5.295383700225868,5.28
13331,7.83,7.83000000000001,7.8103876483275,7.827800000000011,7.82454691208188,7.83
11844,7.03,7.029899999999983,6.966872832910331,7.029299999999985,7.014018208227575,7.03
13867,4.75,3.951999999999997,4.028984774880472,4.197100000000001,4.232021193720117,3.19
1624,7.460000000000002,7.460000000000005,7.392444186707502,7.459800000000005,7.4430610466768785,7.46
8001,7.039999999999999,7.0399999999999965,7.035508029687239,7.040099999999995,7.038902007421807,7.04
7855,6.21,6.230599999999999,6.300838452281016,6.439899999999997,6.295334613070254,6.15
11519,5.53,5.530599999999987,5.390267029848341,5.534599999999994,5.496366757462081,5.53
4447,6.11,6.11000000000001,6.098241420333428,6.11010000000001,6.1070853550833615,6.11
8193,4.8,4.8335,4.8240763140796865,5.017499999999999,4.868769078519922,4.82
4679,5.5,5.667699999999999,5.938795424541473,5.5211999999999986,5.656923856135368,5.83
12598,7.75,7.75,7.747170242509817,7.7501999999999995,7.749342560627454,7.75
5331,6.78,6.779999999999983,6.832673714497132,6.781699999999988,6.793593428624277,6.78
1579,6.770000000000002,6.769999999999991,6.791407570926721,6.77099999999999,6.775601892731676,6.77
12133,7.02,7.0216999999999885,7.009057761757902,7.026499999999986,7.019314440439469,7.02
8722,4.2,5.535999999999998,5.436457808561433,5.375899999999998,5.137089452140357,6.35
11957,5.11,5.185700000000004,5.322273907843594,5.203100000000001,5.2052684769608994,5.13
12672,6.169999999999997,6.168799999999997,6.112241897309615,6.137099999999997,6.147035474327402,6.17
14340,5.43,5.3606,5.7768300443305405,5.583199999999998,5.537657511082634,5.71
